mRNA	lncRNA	pcc	adjp
ENSMUSG00000021356.10	ENSMUSG00000105008.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000105254.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000105283.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000105871.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000106275.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000107999.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000108014.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000108421.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000108672.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000108924.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000108934.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000109468.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000109657.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000110802.1	0.999965185842	3.18220481768e-17
ENSMUSG00000021356.10	ENSMUSG00000110831.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000111039.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000111363.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000111712.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000112028.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000112093.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000112110.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000112308.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000112983.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000113252.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000113484.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000114209.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000114553.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000114772.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000115425.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000116033.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000116092.1	0.995272736051	0.00227851957342
ENSMUSG00000021356.10	ENSMUSG00000116160.1	0.995272736051	0.00227851957342
